timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1488729394281,17,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-28,,true,,2705,447,62,78,17,1002,0
1488729395313,100,3 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-8,text,true,,2649,901,16,78,100,0,0
1488729391313,100,Add or edit address book,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-8,,true,,2649,901,16,78,100,4001,0
1488729395450,16,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-29,text,true,,2705,447,62,78,16,0,0
1488729394449,16,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-29,,true,,2705,447,62,78,16,1001,0
1488729395467,16,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-30,text,true,,2705,447,62,78,16,0,0
1488729394466,16,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-30,,true,,2705,447,62,78,16,1001,0
1488729395496,19,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-55,text,true,,3396,422,62,78,18,0,0
1488729394495,19,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-55,,true,,3396,422,62,78,18,1001,0
1488729395514,23,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-4,text,true,,5349,425,62,78,23,0,0
1488729394513,23,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-4,,true,,5349,425,62,78,23,1002,0
1488729395530,20,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-5,text,true,,5349,425,62,78,20,0,0
1488729394529,20,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-5,,true,,5349,425,62,78,20,1002,0
1488729395590,3,1 /addressbookv4.1.4/,304,Not Modified,Thread Group - create address book entry 1-2,,true,,502,861,16,78,1,0,0
1488729394589,3,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-2,,true,,502,861,16,78,1,1001,0
1488729395599,20,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-56,text,true,,3396,422,62,78,20,0,0
1488729394598,20,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-56,,true,,3396,422,62,78,20,1001,0
1488729395581,73,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-31,text,true,,2654,451,62,78,73,0,0
1488729394580,73,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-31,,true,,2654,451,62,78,73,1001,0
1488729395735,21,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-6,text,true,,5287,425,62,78,20,0,1
1488729394734,21,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-6,,true,,5287,425,62,78,20,1002,1
1488729395785,16,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-32,text,true,,2664,451,62,78,16,0,0
1488729394784,16,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-32,,true,,2664,451,62,78,16,1001,0
1488729395782,20,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-7,text,true,,5287,425,62,78,20,0,1
1488729394781,20,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-7,,true,,5287,425,62,78,20,1002,1
1488729395820,16,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-57,text,true,,3399,422,62,78,16,0,0
1488729394819,16,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-57,,true,,3399,422,62,78,16,1002,0
1488729395812,42,3 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-9,text,true,,2649,902,16,78,42,0,1
1488729391811,42,Add or edit address book,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-9,,true,,2649,902,16,78,42,4001,1
1488729395921,18,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-33,text,true,,2664,451,62,78,18,0,1
1488729394920,18,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-33,,true,,2664,451,62,78,18,1001,1
1488729395921,19,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-58,text,true,,3404,422,62,78,19,0,1
1488729394920,19,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-58,,true,,3404,422,62,78,19,1001,1
1488729396031,23,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-8,text,true,,5334,425,62,78,23,0,1
1488729395031,23,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-8,,true,,5334,425,62,78,23,1001,1
1488729396043,21,2 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-1,text,true,,3383,479,16,78,21,0,0
1488729395043,21,Address book page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-1,,true,,3383,479,16,78,21,1000,0
1488729396090,3,1 /addressbookv4.1.4/,304,Not Modified,Thread Group - create address book entry 1-3,,true,,502,861,16,78,2,0,1
1488729395090,3,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-3,,true,,502,861,16,78,2,1000,1
1488729396161,20,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-34,text,true,,2664,451,62,78,19,0,1
1488729395161,20,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-34,,true,,2664,451,62,78,19,1000,1
1488729396195,20,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-59,text,true,,3404,422,62,78,20,0,1
1488729395195,20,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-59,,true,,3404,422,62,78,20,1001,1
1488729396366,21,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-9,text,true,,5334,425,62,78,21,0,2
1488729395365,21,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-9,,true,,5334,425,62,78,21,1002,2
1488729396409,45,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-35,text,true,,2654,451,62,78,45,0,1
1488729395409,45,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-35,,true,,2654,451,62,78,45,1000,1
1488729396432,22,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-61,text,true,,3399,422,62,78,22,0,1
1488729395432,22,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-61,,true,,3399,422,62,78,22,1000,1
1488729396464,24,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-11,text,true,,5285,425,62,78,24,0,1
1488729395464,24,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-11,,true,,5285,425,62,78,24,1001,1
1488729396502,18,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-60,text,true,,3404,422,62,78,18,0,1
1488729395502,18,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-60,,true,,3404,422,62,78,18,1001,1
1488729396514,23,4 /addressbookv4.1.4/,200,OK,Thread Group 2 - delete address book entry 2-10,text,true,,5285,425,62,78,23,0,1
1488729395514,23,Home page 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-10,,true,,5285,425,62,78,23,1001,1
1488729396594,20,2 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-2,text,true,,3383,479,16,78,20,0,0
1488729395593,20,Address book page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-2,,true,,3383,479,16,78,20,1000,0
1488729396648,18,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-62,text,true,,3348,422,62,78,18,0,1
1488729395646,18,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-62,,true,,3348,422,62,78,18,1002,1
1488729396708,15,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-36,text,true,,2664,451,62,78,15,0,0
1488729395706,15,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-36,,true,,2664,451,62,78,15,1001,0
1488729396676,73,3 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-10,text,true,,2649,909,16,78,73,0,0
1488729392674,73,Add or edit address book,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-10,,true,,2649,909,16,78,73,4001,0
1488729396699,82,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-37,text,true,,2654,451,62,78,82,0,0
1488729395697,82,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-37,,true,,2654,451,62,78,82,1001,0
1488729396799,19,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-38,text,true,,2664,451,62,78,19,0,0
1488729395797,19,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-38,,true,,2664,451,62,78,19,1001,0
